 ,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,SEASON
1,LeBron James,Cleveland Cavaliers,30,6,2,4,45.7,35.8,13.0,32.7,39.8,2.2,7.0,31.0,7.7,11.2,68.7,1.8,11.5,13.3,8.8,3.5,1.3,0.5,3.2,67.1,5.0,2.0,-4.2,2015
2,Stephen Curry,Golden State Warriors,27,6,4,2,42.5,26.0,9.0,20.3,44.3,4.2,10.8,38.5,3.8,4.3,88.5,0.8,4.3,5.2,6.3,4.7,1.8,0.2,2.2,43.0,0.0,0.0,8.7,2015
3,Kyrie Irving,Cleveland Cavaliers,23,1,0,1,43.6,23.0,10.0,22.0,45.5,2.0,8.0,25.0,1.0,1.0,100,2.0,5.0,7.0,6.0,1.0,4.0,2.0,5.0,57.4,0.0,0.0,5.0,2015
4,Andre Iguodala,Golden State Warriors,31,6,4,2,37.1,16.3,6.2,11.8,52.1,2.3,5.8,40.0,1.7,4.7,35.7,1.0,4.8,5.8,4.0,1.0,1.3,0.3,3.0,33.3,0.0,0.0,10.3,2015
5,Klay Thompson,Golden State Warriors,25,6,4,2,37.9,15.8,6.0,14.7,40.9,2.0,6.7,30.0,1.8,2.0,91.7,0.3,4.0,4.3,1.7,0.8,0.5,1.0,3.3,27.2,0.0,0.0,5.2,2015
6,Timofey Mozgov,Cleveland Cavaliers,28,6,2,4,28.3,14.0,4.5,8.2,55.1,0.0,0.0,0.0,5.0,6.7,75.0,3.0,4.5,7.5,1.0,2.5,0.5,1.5,2.2,28.0,3.0,0.0,0.0,2015
7,Draymond Green,Golden State Warriors,25,6,4,2,36.9,13.0,4.0,10.5,38.1,0.8,3.2,26.3,4.2,5.7,73.5,1.3,7.0,8.3,5.0,2.2,2.2,1.2,4.7,38.3,2.0,1.0,5.8,2015
8,JR Smith,Cleveland Cavaliers,29,6,2,4,33.6,11.5,4.0,12.8,31.2,2.5,8.5,29.4,1.0,1.7,60.0,0.3,4.0,4.3,1.0,0.7,0.5,0.8,3.2,21.5,0.0,0.0,-10.2,2015
9,Tristan Thompson,Cleveland Cavaliers,24,6,2,4,41.1,10.0,4.0,8.0,50.0,0.0,0.0,0.0,2.0,3.3,60.0,5.3,7.7,13.0,0.3,0.8,0.7,1.0,2.7,30.3,4.0,0.0,-11.2,2015
10,Harrison Barnes,Golden State Warriors,23,6,4,2,32.9,8.8,3.2,8.5,37.3,1.3,3.2,42.1,1.2,1.5,77.8,3.0,2.8,5.8,0.8,0.7,0.8,0.5,2.8,20.4,0.0,0.0,2.8,2015
11,Matthew Dellavedova,Cleveland Cavaliers,24,6,2,4,31.8,7.5,2.5,8.8,28.3,1.0,4.3,23.1,1.5,1.8,81.8,0.7,2.0,2.7,2.7,2.5,1.2,0.0,3.2,15.7,0.0,0.0,-3.5,2015
12,Iman Shumpert,Cleveland Cavaliers,25,6,2,4,35.9,6.5,1.8,7.2,25.6,1.3,4.2,32.0,1.5,2.3,64.3,1.0,2.8,3.8,0.7,1.2,1.8,0.7,3.2,18.4,0.0,0.0,-7.2,2015
