 ,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,SEASON
1,Golden State Warriors,6,4,2,.667,48.0,111.0,41.8,91.2,45.9,13.5,39.5,34.2,13.8,17.5,79.0,12.2,38.3,50.5,27.2,18.2,5.5,5.7,6.0,20.7,18.3,0.7,2022
1,Miami Heat,6,4,2,.667,48.0,105.2,38.7,83.3,46.4,9.5,31.8,29.8,18.3,22.5,81.5,10.0,32.5,42.5,21.5,13.3,7.5,3.5,3.8,18.8,20.8,7.7,2022
3,Boston Celtics,7,4,3,.571,48.0,105.6,36.7,84.6,43.4,15.7,41.7,37.7,16.4,20.7,79.3,7.6,35.1,42.7,24.7,12.7,5.9,7.1,4.3,21.3,20.1,7.9,2022
3,Dallas Mavericks,7,4,3,.571,48.0,107.6,37.4,81.1,46.1,15.6,39.0,39.9,17.1,22.3,76.9,7.3,29.0,36.3,17.6,11.7,8.9,2.6,3.6,21.3,22.3,3.1,2022
5,Milwaukee Bucks,7,3,4,.429,48.0,97.7,37.0,89.4,41.4,8.1,29.1,27.9,15.6,20.4,76.2,10.9,38.6,49.4,19.0,12.6,6.3,4.3,7.1,20.0,21.1,-7.9,2022
5,Phoenix Suns,7,3,4,.429,48.0,104.4,39.3,82.7,47.5,10.9,27.1,40.0,15.0,18.1,82.7,11.1,32.9,44.0,24.7,15.3,5.6,3.6,2.6,22.3,21.3,-3.1,2022
7,Memphis Grizzlies,6,2,4,.333,48.0,110.3,39.7,94.8,41.8,14.7,40.0,36.7,16.3,21.8,74.8,12.3,33.0,45.3,24.5,12.0,10.2,6.0,5.7,18.3,20.7,-0.7,2022
7,Philadelphia 76ers,6,2,4,.333,48.0,97.5,34.7,78.3,44.3,11.2,33.2,33.7,17.0,20.0,85.0,7.0,29.2,36.2,19.5,15.0,7.0,3.8,3.5,20.8,18.8,-7.7,2022
1,Phoenix Suns,4,4,0,1.000,48.0,121.5,44.5,86.3,51.6,12.8,30.0,42.5,19.8,22.0,89.8,6.5,39.0,45.5,25.3,11.0,6.8,4.0,4.0,16.0,20.8,15.8,2021
2,LA Clippers,6,4,2,.667,48.0,120.0,41.8,83.5,50.1,16.2,37.3,43.3,20.2,23.8,84.6,9.0,30.3,39.3,20.8,10.5,7.8,4.5,2.3,21.5,23.5,8.5,2021
