 ,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,SEASON
1,Golden State Warriors,6,4,2,.667,48.0,104.8,38.8,87.2,44.6,15.3,41.8,36.7,11.8,14.7,80.7,9.8,31.8,41.7,23.5,13.8,10.3,4.5,6.0,20.8,16.2,4.0,2022
2,Boston Celtics,6,2,4,.333,48.0,100.8,35.8,82.3,43.5,14.3,35.2,40.8,14.8,19.8,74.8,9.7,33.5,43.2,25.3,16.8,6.2,6.0,4.5,16.2,20.8,-4.0,2022
1,Milwaukee Bucks,6,4,2,.667,48.0,111.7,41.8,89.5,46.7,11.0,31.2,35.3,17.0,23.3,72.9,13.2,33.2,46.3,23.0,11.3,8.0,3.5,4.0,17.5,20.3,2.3,2021
2,Phoenix Suns,6,2,4,.333,48.0,109.3,41.7,85.0,49.0,11.0,28.7,38.4,15.0,17.5,85.7,7.0,32.0,39.0,20.0,13.0,7.0,4.0,3.5,20.3,17.5,-2.3,2021
1,Los Angeles Lakers,6,4,2,.667,48.0,110.0,39.5,85.0,46.5,14.0,39.8,35.1,17.0,21.5,79.1,11.7,33.3,45.0,25.0,14.2,6.8,4.3,3.2,20.7,19.8,5.5,2020
2,Miami Heat,6,2,4,.333,48.0,104.5,36.7,79.5,46.1,11.5,31.5,36.5,19.7,23.5,83.7,6.5,31.0,37.5,24.3,12.3,5.5,3.2,4.3,19.8,20.7,-5.5,2020
1,Toronto Raptors,6,4,2,.667,48.0,111.5,38.3,84.3,45.5,12.0,34.3,35.0,22.8,26.5,86.2,9.7,31.3,41.0,23.0,12.8,8.2,4.8,4.8,22.2,23.7,5.7,2019
2,Golden State Warriors,6,2,4,.333,48.0,105.8,36.7,81.8,44.8,12.7,33.5,37.8,19.8,24.8,79.9,8.8,31.5,40.3,28.2,16.7,6.8,4.8,4.8,23.7,22.2,-5.7,2019
1,Golden State Warriors,4,4,0,1.000,49.3,116.0,43.5,84.8,51.3,12.8,34.0,37.5,16.3,19.0,85.5,6.8,33.3,40.0,27.8,10.3,6.5,8.0,4.0,21.8,18.3,15.0,2018
2,Cleveland Cavaliers,4,0,4,.000,49.3,101.0,37.8,92.0,41.0,9.0,30.5,29.5,16.5,22.5,73.3,16.8,29.8,46.5,21.0,12.0,6.3,4.0,8.0,18.3,21.8,-15.0,2018
1,Golden State Warriors,5,4,1,.800,48.0,121.6,43.2,91.0,47.5,14.2,37.2,38.2,21.0,25.6,82.0,12.2,33.6,45.8,29.4,13.4,7.6,4.4,3.6,24.4,22.4,6.8,2017
2,Cleveland Cavaliers,5,1,4,.200,48.0,114.8,41.6,90.2,46.1,13.2,34.6,38.2,18.4,24.6,74.8,11.6,32.0,43.6,21.6,13.4,7.2,3.6,4.4,22.4,24.4,-6.8,2017
1,Cleveland Cavaliers,7,4,3,.571,48.0,100.4,37.6,82.4,45.6,8.0,24.3,32.9,17.3,23.9,72.5,11.7,32.1,43.9,18.0,14.1,9.3,5.4,5.7,21.0,21.4,0.6,2016
2,Golden State Warriors,7,3,4,.429,48.0,99.9,35.6,82.6,43.1,13.4,36.0,37.3,15.3,20.7,73.8,10.3,29.6,39.9,22.6,14.0,6.6,5.7,5.4,21.4,21.0,-0.6,2016
1,Golden State Warriors,6,4,2,.667,49.7,100.7,36.2,83.0,43.6,11.2,31.0,36.0,17.2,24.8,69.1,10.5,33.7,44.2,23.0,13.0,8.0,5.0,5.0,24.2,22.2,7.2,2015
2,Cleveland Cavaliers,6,2,4,.333,49.7,93.5,32.7,85.2,38.4,8.2,27.8,29.3,20.0,28.5,70.2,12.5,35.0,47.5,15.8,14.5,7.5,5.0,5.0,22.2,24.2,-7.2,2015
1,San Antonio Spurs,5,4,1,.800,48.0,105.6,38.2,72.4,52.8,11.0,23.6,46.6,18.2,24.4,74.6,7.8,30.0,37.8,25.4,13.8,8.0,3.4,2.2,19.8,23.0,14.0,2014
2,Miami Heat,5,1,4,.200,48.0,91.6,33.6,71.2,47.2,9.2,23.2,39.7,15.2,20.6,73.8,5.6,26.6,32.2,15.2,15.8,8.0,2.2,3.4,23.0,19.8,-14.0,2014
1,Miami Heat,7,4,3,.571,48.7,97.0,37.4,81.6,45.9,9.1,21.1,43.2,13.0,16.9,77.1,9.9,29.9,39.7,21.1,12.3,8.7,5.1,4.3,20.7,16.9,-0.7,2013
2,San Antonio Spurs,7,3,4,.429,48.7,97.7,35.9,79.6,45.1,8.7,21.4,40.7,17.3,22.6,76.6,10.6,31.3,41.9,18.4,14.6,7.0,4.3,5.1,16.9,20.7,0.7,2013
1,Miami Heat,5,4,1,.800,48.0,102.0,35.6,76.8,46.4,8.4,19.6,42.9,22.4,27.2,82.4,9.8,30.4,40.2,18.0,12.8,6.6,3.8,5.0,19.6,22.4,4.0,2012
2,Oklahoma City Thunder,5,1,4,.200,48.0,98.0,36.6,80.4,45.5,6.4,21.0,30.5,18.4,23.8,77.3,9.8,28.2,38.0,15.8,11.8,7.2,5.0,3.8,22.4,19.6,-4.0,2012
1,Dallas Mavericks,6,4,2,.667,48.0,94.7,33.0,72.7,45.4,8.5,20.7,41.1,20.2,25.8,78.1,9.2,28.5,37.7,18.2,13.5,7.2,4.0,4.5,19.7,21.3,2.3,2011
2,Miami Heat,6,2,4,.333,48.0,92.3,33.7,74.7,45.1,7.5,21.7,34.6,17.5,24.7,70.9,10.7,27.8,38.5,19.5,14.5,8.0,4.5,4.0,21.3,19.7,-2.3,2011
