 ,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,SEASON
1,Boston Celtics,4,4,0,1.000,48.0,113.5,41.3,84.3,49.0,12.3,34.5,35.5,18.8,22.8,82.4,11.0,28.5,39.5,25.8,14.0,8.8,4.0,6.5,24.5,24.8,4.5,2022
2,Golden State Warriors,5,4,1,.800,48.0,118.0,42.0,81.6,51.5,15.2,36.0,42.2,18.8,26.8,70.1,7.0,28.8,35.8,28.6,13.0,9.4,6.2,3.4,23.2,25.0,8.0,2022
2,Miami Heat,5,4,1,.800,48.0,109.4,39.8,85.6,46.5,13.2,38.4,34.4,16.6,21.2,78.3,8.2,31.8,40.0,25.4,13.2,9.4,3.0,2.4,23.4,21.6,12.0,2022
2,Milwaukee Bucks,5,4,1,.800,48.0,109.8,40.6,86.0,47.2,14.0,36.8,38.0,14.6,21.2,68.9,8.2,43.6,51.8,23.4,15.4,6.4,4.8,3.2,17.8,18.6,14.6,2022
5,Dallas Mavericks,6,4,2,.667,48.0,104.7,35.8,80.7,44.4,15.5,41.8,37.1,17.5,22.2,78.9,6.0,31.7,37.7,19.3,8.7,6.5,2.3,3.7,23.2,22.0,5.7,2022
5,Memphis Grizzlies,6,4,2,.667,48.0,114.7,39.8,87.8,45.4,11.5,31.7,36.3,23.5,32.3,72.7,12.5,33.8,46.3,25.8,16.0,8.2,6.2,7.8,23.2,26.8,5.5,2022
5,Philadelphia 76ers,6,4,2,.667,48.8,111.5,38.2,78.2,48.8,13.7,33.5,40.8,21.5,25.3,84.9,8.3,33.5,41.8,24.0,14.5,5.2,4.8,4.8,20.3,22.2,8.3,2022
5,Phoenix Suns,6,4,2,.667,48.0,111.3,43.3,82.8,52.3,8.7,27.2,31.9,16.0,19.8,80.7,7.5,28.2,35.7,26.8,11.0,7.8,4.0,3.5,22.7,21.2,1.5,2022
9,Minnesota Timberwolves,6,2,4,.333,48.0,109.2,36.3,82.0,44.3,13.8,35.7,38.8,22.7,28.0,81.0,7.0,33.0,40.0,22.8,17.7,8.2,7.8,6.2,26.8,23.2,-5.5,2022
9,New Orleans Pelicans,6,2,4,.333,48.0,109.8,39.0,84.3,46.2,9.3,26.3,35.4,22.5,28.8,78.0,15.2,30.5,45.7,21.3,14.5,6.3,3.5,4.0,21.2,22.7,-1.5,2022
9,Toronto Raptors,6,2,4,.333,48.8,103.2,38.3,86.0,44.6,9.8,32.8,29.9,16.7,21.0,79.4,10.0,27.5,37.5,20.7,10.0,6.7,4.8,4.8,22.2,20.3,-8.3,2022
9,Utah Jazz,6,2,4,.333,48.0,99.0,35.0,79.0,44.3,8.2,29.8,27.4,20.8,26.5,78.6,9.3,35.5,44.8,17.2,11.7,4.0,3.7,2.3,22.0,23.2,-5.7,2022
