 ,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,SEASON
1,Golden State Warriors,22,16,6,.727,48.0,111.9,41.4,86.1,48.0,14.0,37.3,37.5,15.1,19.8,76.6,9.8,34.1,43.9,27.0,14.5,7.7,5.0,4.9,21.5,19.3,5.0,2022
2,Miami Heat,18,11,7,.611,48.0,104.2,38.0,85.3,44.5,10.9,34.8,31.3,17.3,21.6,80.4,9.8,31.2,41.1,21.9,12.9,8.3,3.7,4.6,21.4,21.4,3.8,2022
3,Boston Celtics,24,14,10,.583,48.0,105.5,36.7,81.8,44.9,13.7,36.6,37.3,18.5,23.2,79.7,9.0,33.9,42.9,24.5,14.7,6.4,6.3,4.7,20.7,21.7,3.6,2022
3,Milwaukee Bucks,12,7,5,.583,48.0,102.8,38.5,88.0,43.8,10.6,32.3,32.7,15.2,20.8,73.1,9.8,40.7,50.4,20.8,13.8,6.3,4.5,5.5,19.1,20.1,1.5,2022
5,Phoenix Suns,13,7,6,.538,48.0,107.6,41.2,82.8,49.7,9.8,27.2,36.3,15.5,18.9,81.7,9.5,30.7,40.2,25.7,13.3,6.6,3.8,3.0,22.5,21.2,-1.0,2022
6,Dallas Mavericks,18,9,9,.500,48.0,106.3,36.3,80.8,44.9,15.8,41.5,38.0,18.0,23.3,77.1,6.5,30.0,36.5,19.2,10.2,7.2,2.8,3.6,21.1,22.1,0.7,2022
6,Memphis Grizzlies,12,6,6,.500,48.0,112.5,39.8,91.3,43.5,13.1,35.8,36.5,19.9,27.1,73.5,12.4,33.4,45.8,25.2,14.0,9.2,6.1,6.8,20.8,23.8,2.4,2022
6,Philadelphia 76ers,12,6,6,.500,48.4,104.5,36.4,78.3,46.5,12.4,33.3,37.3,19.3,22.7,84.9,7.7,31.3,39.0,21.8,14.8,6.1,4.3,4.2,20.6,20.5,0.3,2022
9,Minnesota Timberwolves,6,2,4,.333,48.0,109.2,36.3,82.0,44.3,13.8,35.7,38.8,22.7,28.0,81.0,7.0,33.0,40.0,22.8,17.7,8.2,7.8,6.2,26.8,23.2,-5.5,2022
9,New Orleans Pelicans,6,2,4,.333,48.0,109.8,39.0,84.3,46.2,9.3,26.3,35.4,22.5,28.8,78.0,15.2,30.5,45.7,21.3,14.5,6.3,3.5,4.0,21.2,22.7,-1.5,2022
9,Toronto Raptors,6,2,4,.333,48.8,103.2,38.3,86.0,44.6,9.8,32.8,29.9,16.7,21.0,79.4,10.0,27.5,37.5,20.7,10.0,6.7,4.8,4.8,22.2,20.3,-8.3,2022
9,Utah Jazz,6,2,4,.333,48.0,99.0,35.0,79.0,44.3,8.2,29.8,27.4,20.8,26.5,78.6,9.3,35.5,44.8,17.2,11.7,4.0,3.7,2.3,22.0,23.2,-5.7,2022
13,Atlanta Hawks,5,1,4,.200,48.0,97.4,34.4,78.2,44.0,11.4,35.0,32.6,17.2,22.0,78.2,8.6,30.8,39.4,18.6,16.4,5.8,2.4,3.0,21.6,23.4,-12.0,2022
13,Chicago Bulls,5,1,4,.200,48.0,95.2,36.4,90.2,40.4,10.4,36.8,28.3,12.0,14.4,83.3,8.2,35.8,44.0,23.0,13.0,7.8,3.2,4.8,18.6,17.8,-14.6,2022
13,Denver Nuggets,5,1,4,.200,48.0,110.0,39.4,82.8,47.6,11.2,31.4,35.7,20.0,25.2,79.4,11.2,30.6,41.8,25.0,16.4,7.0,3.4,6.2,25.0,23.2,-8.0,2022
16,Brooklyn Nets,4,0,4,.000,48.0,109.0,39.3,78.0,50.3,11.5,27.3,42.2,19.0,25.8,73.8,8.5,25.5,34.0,22.3,15.3,8.0,6.5,4.0,24.8,24.5,-4.5,2022
1,Milwaukee Bucks,23,16,7,.696,48.4,110.3,42.1,91.1,46.2,11.2,35.0,32.1,14.9,20.8,71.8,12.8,36.1,49.0,22.8,12.7,7.8,4.2,3.8,18.0,20.1,5.1,2021
2,Phoenix Suns,22,14,8,.636,48.0,109.0,40.9,85.0,48.1,11.2,29.7,37.6,16.0,18.6,86.1,8.0,34.7,42.7,23.2,11.9,6.5,4.2,3.6,19.7,18.5,4.5,2021
3,Brooklyn Nets,12,7,5,.583,48.4,112.5,40.7,86.2,47.2,13.6,35.6,38.2,17.6,20.3,86.8,8.3,34.3,42.6,22.6,11.6,7.1,4.8,6.2,21.2,18.6,6.3,2021
