 ,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,SEASON
1,Golden State Warriors,5,4,1,.800,48.0,115.2,43.2,83.4,51.8,11.8,30.6,38.6,17.0,21.6,78.7,9.8,37.0,46.8,29.4,12.6,5.6,3.4,3.6,21.8,18.4,8.6,2022
2,Boston Celtics,7,4,3,.571,48.0,105.0,34.9,77.0,45.3,11.9,34.0,34.9,23.4,28.7,81.6,8.7,36.1,44.9,22.9,15.3,5.9,6.9,4.3,21.9,22.3,5.3,2022
3,Miami Heat,7,3,4,.429,48.0,99.7,36.1,86.9,41.6,10.4,34.7,30.0,17.0,21.0,81.0,10.9,29.7,40.6,19.7,12.4,8.3,4.3,6.9,22.3,21.9,-5.3,2022
4,Dallas Mavericks,5,1,4,.200,48.0,106.6,35.2,80.6,43.7,16.4,44.6,36.8,19.8,26.2,75.6,6.0,29.4,35.4,21.2,10.0,5.6,3.6,3.4,18.4,21.8,-8.6,2022
1,Los Angeles Lakers,5,4,1,.800,48.0,113.6,40.8,81.2,50.2,9.8,28.4,34.5,22.2,28.4,78.2,8.8,28.6,37.4,26.0,15.4,9.0,5.2,2.6,27.0,24.4,4.4,2021
2,Miami Heat,6,4,2,.667,48.8,112.3,39.3,86.2,45.6,12.0,37.2,32.3,21.7,26.3,82.3,8.0,31.8,39.8,26.2,11.7,6.7,4.2,3.8,21.3,24.0,-0.2,2021
3,Boston Celtics,6,2,4,.333,48.8,112.5,40.0,86.5,46.2,12.5,36.7,34.1,20.0,23.7,84.5,10.0,34.3,44.3,25.5,14.2,6.5,3.8,4.2,24.0,21.3,0.2,2021
4,Denver Nuggets,5,1,4,.200,48.0,109.2,38.6,79.4,48.6,9.2,27.4,33.6,22.8,27.8,82.0,8.0,28.2,36.2,23.2,15.8,6.4,2.6,5.2,24.4,27.0,-4.4,2021
1,Los Angeles Lakers,5,4,1,.800,48.0,113.6,40.8,81.2,50.2,9.8,28.4,34.5,22.2,28.4,78.2,8.8,28.6,37.4,26.0,15.4,9.0,5.2,2.6,27.0,24.4,4.4,2020
2,Miami Heat,6,4,2,.667,48.8,112.3,39.3,86.2,45.6,12.0,37.2,32.3,21.7,26.3,82.3,8.0,31.8,39.8,26.2,11.7,6.7,4.2,3.8,21.3,24.0,-0.2,2020
3,Boston Celtics,6,2,4,.333,48.8,112.5,40.0,86.5,46.2,12.5,36.7,34.1,20.0,23.7,84.5,10.0,34.3,44.3,25.5,14.2,6.5,3.8,4.2,24.0,21.3,0.2,2020
4,Denver Nuggets,5,1,4,.200,48.0,109.2,38.6,79.4,48.6,9.2,27.4,33.6,22.8,27.8,82.0,8.0,28.2,36.2,23.2,15.8,6.4,2.6,5.2,24.4,27.0,-4.4,2020
1,Golden State Warriors,4,4,0,1.000,49.3,114.8,42.8,87.3,49.0,11.5,31.8,36.2,17.8,21.8,81.6,11.3,38.0,49.3,29.3,14.8,9.0,6.8,3.8,21.5,19.0,9.5,2019
2,Toronto Raptors,6,4,2,.667,49.7,107.7,36.5,87.7,41.6,14.3,38.3,37.4,20.3,25.2,80.8,8.0,36.7,44.7,22.5,11.8,7.5,5.5,6.0,24.0,23.0,1.0,2019
3,Milwaukee Bucks,6,2,4,.333,49.7,106.7,37.2,87.7,42.4,11.8,38.2,31.0,20.5,28.3,72.4,11.0,40.8,51.8,24.2,12.5,7.5,6.0,5.5,23.0,24.0,-1.0,2019
4,Portland Trail Blazers,4,0,4,.000,49.3,105.3,37.3,88.0,42.3,13.0,35.8,36.4,17.8,23.0,77.2,10.5,30.3,40.8,24.3,14.5,6.8,3.8,6.8,19.0,21.5,-9.5,2019
1,Cleveland Cavaliers,7,4,3,.571,48.0,97.6,35.4,78.6,45.1,9.4,29.4,32.0,17.3,23.1,74.7,7.7,35.3,43.0,17.4,14.0,4.9,5.6,3.0,19.7,20.4,0.9,2018
1,Golden State Warriors,7,4,3,.571,48.0,107.4,39.7,83.6,47.5,12.3,32.1,38.2,15.7,19.3,81.5,9.6,33.4,43.0,21.1,13.6,8.4,5.1,3.7,19.9,19.6,9.0,2018
3,Boston Celtics,7,3,4,.429,48.0,96.7,35.0,82.7,42.3,9.7,31.0,31.3,17.0,21.9,77.8,7.9,32.6,40.4,21.3,10.3,6.9,3.0,5.6,20.4,19.7,-0.9,2018
3,Houston Rockets,7,3,4,.429,48.0,98.4,34.6,82.3,42.0,12.4,39.6,31.4,16.9,22.7,74.2,9.6,32.3,41.9,16.3,15.4,7.7,3.7,5.1,19.6,19.9,-9.0,2018
1,Golden State Warriors,4,4,0,1.000,48.0,124.5,45.8,85.0,53.8,13.5,33.3,40.6,19.5,24.8,78.8,9.3,35.3,44.5,28.5,18.3,12.0,5.5,3.8,22.8,20.5,16.0,2017
2,Cleveland Cavaliers,5,4,1,.800,48.0,120.4,42.2,79.0,53.4,15.0,34.4,43.6,21.0,27.0,77.8,8.4,33.6,42.0,23.4,12.4,8.4,4.2,3.0,16.4,21.2,20.0,2017
3,Boston Celtics,5,1,4,.200,48.0,100.4,37.4,86.0,43.5,11.8,33.2,35.5,13.8,17.6,78.4,10.6,26.4,37.0,26.0,14.8,7.0,3.0,4.2,21.2,16.4,-20.0,2017
4,San Antonio Spurs,4,0,4,.000,48.0,108.5,40.5,93.8,43.2,7.0,22.8,30.8,20.5,26.5,77.4,15.8,27.8,43.5,23.8,15.5,12.0,3.8,5.5,20.5,22.8,-16.0,2017
1,Cleveland Cavaliers,6,4,2,.667,48.0,105.8,38.3,77.2,49.7,11.3,29.2,38.9,17.8,23.3,76.4,8.2,34.3,42.5,21.5,12.7,7.2,4.2,2.8,17.8,22.2,15.5,2016
2,Golden State Warriors,7,4,3,.571,48.0,106.1,38.1,86.6,44.1,12.9,32.3,39.8,17.0,23.6,72.1,10.7,32.4,43.1,22.0,14.7,9.3,3.9,6.1,21.3,20.1,-1.0,2016
3,Oklahoma City Thunder,7,3,4,.429,48.0,107.1,38.6,88.4,43.6,7.9,24.4,32.2,22.1,28.7,77.1,12.4,35.7,48.1,21.0,13.9,9.0,6.1,3.9,20.1,21.3,1.0,2016
4,Toronto Raptors,6,2,4,.333,48.0,90.3,34.2,77.8,43.9,7.3,25.3,28.9,14.7,20.3,72.1,7.3,27.7,35.0,16.2,12.8,6.3,2.8,4.2,22.2,17.8,-15.5,2016
1,Cleveland Cavaliers,4,4,0,1.000,49.3,105.8,38.3,86.0,44.5,12.3,30.8,39.8,17.0,26.3,64.8,13.8,38.3,52.0,21.0,12.8,4.5,5.3,3.0,18.8,21.3,13.3,2015
2,Golden State Warriors,5,4,1,.800,48.0,108.6,41.8,90.8,46.0,11.6,31.2,37.2,13.4,19.8,67.7,13.4,36.2,49.6,27.0,15.4,8.8,6.0,6.2,25.2,19.6,8.2,2015
3,Houston Rockets,5,1,4,.200,48.0,100.4,35.2,80.6,43.7,8.4,25.2,33.3,21.6,33.0,65.5,9.6,32.4,42.0,20.0,15.8,9.0,6.2,6.0,19.6,25.2,-8.2,2015
4,Atlanta Hawks,4,0,4,.000,49.3,92.5,34.8,82.3,42.2,6.5,27.8,23.4,16.5,21.5,76.7,6.8,32.5,39.3,19.0,9.5,6.5,3.0,5.3,21.3,18.8,-13.3,2015
1,Miami Heat,6,4,2,.667,48.0,98.5,36.8,72.2,51.0,9.7,23.7,40.8,15.2,19.3,78.4,6.8,27.3,34.2,20.2,12.3,7.2,3.5,1.8,21.7,18.8,6.5,2014
1,San Antonio Spurs,6,4,2,.667,48.8,108.7,39.5,85.5,46.2,10.2,25.7,39.6,19.5,23.7,82.4,11.2,33.3,44.5,22.8,12.8,7.8,3.5,5.8,20.0,23.3,10.5,2014
3,Indiana Pacers,6,2,4,.333,48.0,92.0,33.7,71.8,46.9,8.0,21.0,38.1,16.7,23.3,71.4,9.7,26.7,36.3,17.3,13.5,5.8,1.8,3.5,18.8,21.7,-6.5,2014
3,Oklahoma City Thunder,6,2,4,.333,48.8,98.2,36.0,81.5,44.2,6.8,22.7,30.1,19.3,24.7,78.4,9.2,32.3,41.5,19.0,14.3,7.3,5.8,3.5,23.3,20.0,-10.5,2014
1,San Antonio Spurs,4,4,0,1.000,50.5,98.8,39.0,79.3,49.2,8.0,21.3,37.6,12.8,16.5,77.3,7.0,33.8,40.8,25.0,14.3,6.5,7.8,5.8,21.8,21.3,11.0,2013
2,Miami Heat,7,4,3,.571,48.7,95.4,34.4,76.7,44.9,7.0,18.4,38.0,19.6,25.0,78.3,10.6,24.3,34.9,16.7,11.7,7.6,5.9,3.4,24.1,24.1,4.0,2013
3,Indiana Pacers,7,3,4,.429,48.7,91.4,32.9,72.0,45.6,5.3,14.0,37.8,20.4,27.7,73.7,12.9,29.9,42.7,16.3,17.3,4.9,3.4,5.9,24.1,24.1,-4.0,2013
4,Memphis Grizzlies,4,0,4,.000,50.5,87.8,33.8,88.5,38.1,5.5,15.8,34.9,14.8,22.0,67.0,16.0,30.0,46.0,19.0,11.8,7.8,5.8,7.8,21.3,21.8,-11.0,2013
1,Oklahoma City Thunder,6,4,2,.667,48.0,105.8,38.7,81.5,47.4,7.7,19.0,40.4,20.8,25.2,82.8,9.3,31.3,40.7,21.2,12.7,9.7,7.0,3.7,21.0,22.0,4.5,2012
2,Miami Heat,7,4,3,.571,49.4,97.0,35.7,77.1,46.3,7.0,22.1,31.6,18.6,26.9,69.1,10.0,31.9,41.9,17.9,12.9,6.3,5.3,3.3,21.0,24.3,4.9,2012
3,Boston Celtics,7,3,4,.429,49.4,92.1,35.0,79.1,44.2,5.1,17.4,29.5,17.0,22.6,75.3,9.1,28.6,37.7,17.7,11.9,7.6,3.3,5.3,24.3,21.0,-4.9,2012
4,San Antonio Spurs,6,2,4,.333,48.0,101.3,37.2,79.5,46.8,10.2,24.8,40.9,16.8,23.3,72.1,9.7,30.2,39.8,21.2,15.8,5.3,3.7,7.0,22.0,21.0,-4.5,2012
1,Dallas Mavericks,5,4,1,.800,49.0,105.2,35.4,78.8,44.9,7.6,23.2,32.8,26.8,30.6,87.6,10.0,26.8,36.8,19.2,12.4,9.6,4.2,6.6,22.6,24.2,4.0,2011
1,Miami Heat,5,4,1,.800,49.0,89.4,31.2,68.8,45.3,4.0,11.6,34.5,23.0,27.8,82.7,7.0,31.6,38.6,14.6,14.8,7.8,7.6,5.6,20.0,23.6,2.2,2011
3,Chicago Bulls,5,1,4,.200,49.0,87.2,32.4,82.8,39.1,6.2,19.8,31.3,16.2,22.0,73.6,14.0,28.8,42.8,18.2,13.0,7.6,5.6,7.6,23.6,20.0,-2.2,2011
3,Oklahoma City Thunder,5,1,4,.200,49.0,101.2,35.4,77.6,45.6,4.4,16.0,27.5,26.0,31.0,83.9,13.4,31.0,44.4,17.2,16.2,7.2,6.6,4.2,24.2,22.6,-4.0,2011
